sample1,sample2,ratio,z,y
004,031,1.3183856,667,708
012,031,1.3491442,642,649
015,031,1.3635336,650,701
007,031,1.3989408,605,713
004,025,1.4179974,714,724
008,031,1.4292302,636,661
012,025,1.4487559,689,666
004,017,1.4534652,623,708
015,025,1.4631453,697,717
012,017,1.4842238,598,650
004,032,1.4869993,605,672
007,025,1.4985526,652,730
015,017,1.4986132,606,701
012,032,1.5177579,581,614
004,030,1.519386,722,714
008,025,1.528842,683,678
015,032,1.5321473,589,665
007,017,1.5340204,561,714
009,031,1.5396683,644,680
012,030,1.5501446,697,655
008,017,1.5643098,592,662
015,030,1.564534,705,707
007,032,1.5675545,543,678
002,031,1.5712984,720,693
008,032,1.5978439,575,626
007,030,1.5999413,660,719
008,030,1.6302307,691,667
009,025,1.6392801,691,696
004,020,1.6513426,684,698
002,025,1.67091,767,710
009,017,1.674748,600,680
004,029,1.6819394,711,706
012,020,1.6821012,659,640
015,020,1.6964906,667,691
002,017,1.706378,676,694
009,032,1.708282,582,644
012,029,1.7126979,686,648
015,029,1.7270873,694,699
007,020,1.7318978,622,704
002,032,1.739912,658,658
009,030,1.7406688,699,686
008,020,1.7621872,653,652
007,029,1.7624946,649,712
002,030,1.7722987,775,699
008,029,1.792784,680,660
009,020,1.8726254,661,670
009,029,1.9032221,688,678
002,020,1.9042554,737,684
002,029,1.934852,764,692
