sample,,z-depth,y-height,shoulder,spine,hip,heightRatio,widthRatio
002,m,758,707,890,470,846,1.8936170212766,0.950561797752809
004,m,652,736,773,557,780,1.38779174147217,1.00905562742561
007,m,528,747,776,501,674,1.54890219560878,0.868556701030928
008,f,591,643,713,443,657,1.60948081264108,0.921458625525947
009,f,606,680,820,448,752,1.83035714285714,0.917073170731707
012,f-,603,619,629,434,650,1.44930875576037,1.03338632750397
015,m,619,722,742,502,684,1.47808764940239,0.921832884097035
017,f,594,681,635,418,551,1.51913875598086,0.867716535433071
020,F,716,661,900,470,811,1.91489361702128,0.901111111111111
025,m,776,713,685,473,583,1.44820295983087,0.851094890510949
029,m,770,677,909,460,757,1.97608695652174,0.832783278327833
030,m,792,692,842,510,777,1.65098039215686,0.922802850356294
031,f+,682,680,612,490,632,1.24897959183673,1.03267973856209
032,f,559,609,690,435,663,1.58620689655172,0.960869565217391
